type,epoch,num_samples,reward_mean,reward_std,mse_all,mse_reward,mse_delta,train_size,val_size,infer_time,fine_tune_epochs,ratio_vs_orig
zero_shot,0,6000,1.1244662957187186,0.6784337191201119,0.017358562583126295,0.012664870586374777,0.017785261855558253,4800,1200,5.43531060218811,0,6.530323556596708
fine_tuned,0,6000,1.1244662957187186,0.6784337191201119,0.005154479131418288,0.006474652534933301,0.005034463367462378,4800,1200,2.5949177742004395,50,1.9391246442609944
zero_shot,5,11000,1.543955779521053,0.8419962097050065,0.019263038156798695,0.01107796034972355,0.02000713613926007,8800,2200,22.14971375465393,0,7.712120078067773
fine_tuned,5,11000,1.543955779521053,0.8419962097050065,0.005552231073260996,0.006036295588962885,0.005508225208197188,8800,2200,5.746126174926758,50,2.222882620572249
zero_shot,10,16000,1.66728596200856,0.83823956174853,0.015158300421073348,0.008557891289507546,0.015758337614852055,12800,3200,60.396960973739624,0,7.285547036301927
fine_tuned,10,16000,1.66728596200856,0.83823956174853,0.006130182335750017,0.006334663453740202,0.0061115931432054555,12800,3200,12.469895124435425,50,2.946354835804969
zero_shot,20,26000,1.9394500365860787,0.8577902826714565,0.013594934818904407,0.010936775999859413,0.01383658562063577,20800,5200,243.63440656661987,0,8.577556033353387
fine_tuned,20,26000,1.9394500365860787,0.8577902826714565,0.005698568158522286,0.00527134239818956,0.00573740686400708,20800,5200,29.17985248565674,50,3.5954411213239985
