epoch,samples,multi_mse_all,multi_mse_r,multi_mse_d,base_mse_all,base_mse_r,base_mse_d,ratio_all,ratio_r,ratio_d,infer_time
0,6000,0.006989893395075074,0.006110359937002312,0.007069850982172598,0.00265815,0.00550285,0.00239954,2.629608334772332,1.110399145352374,2.9463359569636673,1.8823888301849365
5,11000,0.004919430982781877,0.004854564818465777,0.004925327906810614,0.00249776,0.00413317,0.00234909,1.9695370983528753,1.1745379015297646,2.096696127781658,4.8519368171691895
10,16000,0.004529373587503671,0.0030220166871752375,0.004666406032988074,0.0020806,0.0051402,0.00180245,2.176955487601495,0.5879181135316208,2.5889239829055306,12.68275761604309
20,26000,0.0032859406756915598,0.0031960724757137482,0.0032941105120531788,0.00158494,0.00276447,0.00147771,2.0732271730737817,1.1561248542084914,2.229199580467872,41.55296516418457
50,56000,0.0035397243694986757,0.0019648386935198774,0.0036828957945876577,0.00161951,0.00145373,0.00163458,2.1856761424743754,1.351584333762031,2.253114435872002,344.20771312713623
